date,close,volume,relative_volume,ma_alignment,price_vs_sma_50_pct,rsi_14,rsi_overbought,rsi_oversold,atr_14,atr_pct,market_stage,sma_5,sma_10,sma_20,sma_50,sma_100,sma_200,sma_5_diff_pct,sma_10_diff_pct,sma_20_diff_pct,sma_50_diff_pct,sma_100_diff_pct,sma_200_diff_pct
2022-08-16,4280.0,205432400,1.3933228109062334,0,0.004673115566143701,47.27994381059098,0,0,79.65732301480737,1.861152406888023,unknown,4312.0,4344.0,4335.0,4279.8,,,-0.5993545412632528,-0.27548209366391463,0.19646365422396617,-0.05604595768529119,,
2022-08-18,4330.0,138795300,0.9680969178740039,0,1.2391863455693244,52.37033473759537,0,0,78.23778013782349,1.8068771394416512,unknown,4316.0,4339.0,4336.5,4277.0,,,0.09276437847867136,-0.11510128913443385,0.0346020761245569,-0.06542361792607476,,
2022-08-19,4300.0,84552100,0.5993348788535416,0,0.6271646541233779,49.2948554742411,0,0,75.47862804134303,1.7553169311940238,unknown,4306.0,4333.0,4336.0,4273.2,,,-0.23169601482854185,-0.13828070984097662,-0.01153003574311251,-0.0888473228898845,,
2022-08-22,4270.0,121124400,0.8481820488846588,0,-0.01404954807287884,46.36273897620825,0,0,74.36253892833105,1.7415114503122027,unknown,4296.0,4324.0,4336.0,4270.6,,,-0.23223409196470035,-0.20770828525271678,0.0,-0.06084433211643869,,
2022-08-23,4300.0,107799500,0.7426916102431427,0,0.707293081643164,49.59172484584332,0,0,72.60706166086258,1.6885363176944785,unknown,4296.0,4317.0,4338.5,4269.8,,,0.0,-0.16188714153561046,0.05765682656826421,-0.01873273076382631,,
2022-08-24,4290.0,75055900,0.5211695555915397,0,0.5060444194546051,48.5426973170444,0,0,70.97909990444619,1.6545244732971138,unknown,4298.0,4305.0,4336.5,4268.4,,,0.04655493482308426,-0.2779708130646319,-0.046098882102107996,-0.03278842100333801,,
2022-08-25,4270.0,117653800,0.808792225891363,0,0.12192834365034276,46.42742191679186,0,0,68.02986385652272,1.5932052425415157,unknown,4286.0,4301.0,4334.0,4264.8,,,-0.2791996277338282,-0.09291521486642917,-0.05765017871555145,-0.08434073657574981,,
2022-08-26,4270.0,87375200,0.6109461725315034,0,0.19710906701707423,46.42742191679186,0,0,64.57505747039521,1.512296427878108,unknown,4280.0,4293.0,4329.5,4261.6,,,-0.13999066728884735,-0.1860032550569657,-0.10383017997230848,-0.07503282686174284,,
2022-08-29,4250.0,88409800,0.6500566677759542,0,-0.21600300525919935,44.19397592187845,0,0,63.52719386719807,1.4947575027576017,unknown,4276.0,4286.0,4324.0,4259.2,,,-0.09345794392523477,-0.16305613789890927,-0.1270354544404717,-0.05631687629060744,,
2022-08-30,4260.0,157219500,1.174817546638096,0,0.08457851705667616,45.60303829635105,0,0,62.5551184143377,1.468430009726237,unknown,4268.0,4282.0,4319.0,4256.4,,,-0.187090739008422,-0.09332711152589823,-0.11563367252543921,-0.06574004507888809,,
2022-08-31,4340.0,191475700,1.4214779315012351,0,1.9832691042391115,55.32195698013632,0,0,65.96307410715411,1.5198865001648414,unknown,4278.0,4288.0,4316.0,4255.6,,,0.23430178069352436,0.14012143858010973,-0.06946052326927132,-0.018795226012580102,,
2022-09-01,4390.0,139929300,1.024915128025856,0,3.124265914963589,60.11801838616156,0,0,66.97093912047886,1.5255339207398375,unknown,4302.0,4294.0,4316.5,4257.0,,,0.5610098176718203,0.13992537313431974,0.01158480074143764,0.03289782874329461,,
2022-09-02,4450.0,220616600,1.558580044018449,0,4.464998356730359,64.97665230775374,0,0,67.18834769089254,1.5098505099076975,unknown,4338.0,4309.0,4321.0,4259.8,,,0.8368200836819994,0.34932463903121214,0.10425112938723391,0.06577401926239901,,
2022-09-05,4590.0,261126600,1.7865547908794415,0,7.625211029825545,73.18530352567811,1,0,75.28252136064604,1.6401420775739879,unknown,4406.0,4341.0,4332.5,4264.8,,,1.567542646380815,0.7426317010907457,0.2661420967368766,0.1173764026480173,,
2022-09-06,4560.0,188042700,1.2519311896461105,0,6.781566129636577,69.43004782312079,0,0,79.92447517542668,1.752729718759357,unknown,4466.0,4367.0,4342.0,4270.4,,,1.361779391738538,0.5989403363280354,0.21927293710328755,0.13130744700804442,,
2022-09-07,4460.0,231936700,1.518789160625895,0,4.361662298764498,58.63056109653382,0,0,81.36399216164504,1.8243047569875568,unknown,4490.0,4384.0,4344.5,4273.6,,,0.53739364084191,0.3892832608197949,0.057577153385546254,0.07493443237169828,,
2022-09-08,4600.0,250373200,1.615694669166271,0,7.426436244745446,66.48928547949264,0,0,87.0010342409788,1.8913268313256262,unknown,4532.0,4417.0,4359.0,4282.0,,,0.9354120267260679,0.7527372262773779,0.3337553228219603,0.1965555971546129,,
2022-09-09,4610.0,119286700,0.7886146518527651,0,7.429157345264732,66.97191345125691,0,0,85.7826235512432,1.8607944371202432,unknown,4564.0,4451.0,4372.0,4291.2,,,0.7060900264783676,0.76975322617161,0.29823353980271694,0.21485287248947937,,
2022-09-12,4560.0,97988000,0.649079148600626,0,6.056377337426729,62.152006622478915,0,0,84.6518019846304,1.8563991663296138,unknown,4558.0,4482.0,4384.0,4299.6,,,-0.13146362839614456,0.6964727027634288,0.2744739249771255,0.19574944071589773,,
2022-09-13,4580.0,141828800,0.9373943125731199,0,6.25463994060877,63.290089619022204,0,0,84.3185750916877,1.8410169233992948,unknown,4562.0,4514.0,4398.0,4310.4,,,0.0877577885037395,0.7139669790272141,0.31934306569343374,0.25118615685177925,,
2022-09-14,4580.0,149960600,1.0096485822963988,0,6.013610480996254,63.290089619022204,0,0,85.44166665955802,1.8655385733527954,unknown,4586.0,4538.0,4413.0,4320.2,,,0.5260850504164916,0.5316792202038068,0.3410641200545683,0.22735708982926095,,
2022-09-15,4610.0,295664100,1.8907864989765364,0,6.446845848342103,65.11495562589035,0,0,87.91623606645358,1.907076704261466,unknown,4588.0,4560.0,4427.0,4330.8,,,0.0436109899694781,0.4847950639047971,0.31724450487196076,0.24535901115689818,,
2022-09-16,4500.0,282492200,1.6990176069094247,0,3.691414350891742,54.43062966340411,0,0,90.21320592558929,2.0047379094575395,unknown,4566.0,4565.0,4437.0,4339.8,,,-0.47951176983435095,0.10964912280702066,0.22588660492433021,0.20781379883623163,,
2022-09-19,4570.0,134432000,0.8053034580958046,0,5.125138019874866,59.036898203645556,0,0,90.91375581895744,1.989360083565808,unknown,4568.0,4563.0,4452.0,4347.2,,,0.04380201489269098,-0.04381161007667167,0.33806626098715764,0.170514770265906,,
