symbol,pattern,stage,atr,relative_volume,support,resistance,sma_change_5,sma_change_10,sma_change_20,sma_change_50,sma_change_100,sma_change_200,error
BMHS.JK,channel down,basing,11.44,0.24,250.21,252.76,,,,,,,
BMRI.JK,channel up,breakout,184.18,0.2,4875.39,5302.49,,,,,,,
BMSR.JK,channel down,topping,13.29,0.58,249.73,246.36,,,,,,,
BMTR.JK,channel down,breakout,6.42,0.85,142.81,152.22,,,,,,,
BNBA.JK,channel down,topping,34.22,0.67,845.81,884.3,,,,,,,
BNBR.JK,channel down,basing,0.7,1.14,31.52,32.91,,,,,,,
BNGA.JK,channel up,breakout,37.02,0.54,1765.02,1855.91,,,,,,,
BNII.JK,channel down,topping,5.93,0.87,210.02,216.31,,,,,,,
BNLI.JK,channel up,breakdown,103.6,0.12,2172.2,2273.82,,,,,,,
BOAT.JK,channel down,topping,8.28,0.21,115.35,119.03,,,,,,,
BOBA.JK,multiple bottoms,topping,7.86,0.42,156.54,164.66,,,,,,,
BOGA.JK,channel down,topping,24.16,0.22,566.25,576.62,,,,,,,
BOLT.JK,channel up,topping,18.66,0.22,1162.86,1131.77,,,,,,,
BPFI.JK,channel down,breakout,35.89,0.37,440.98,455.01,,,,,,,
BPTR.JK,channel down,basing,5.09,0.45,73.75,77.04,,,,,,,
BRAM.JK,channel down,basing,106.77,0.57,5895.43,5872.7,,,,,,,
BREN.JK,channel up,breakout,361.03,1.2,6748.95,6688.07,,,,,,,
BRIS.JK,channel up,topping,105.16,0.32,2980.24,3107.97,,,,,,,
BRMS.JK,channel up,basing,17.72,0.42,392.94,430.35,,,,,,,
BRNA.JK,multiple tops,basing,15.01,0.01,672.64,700.0,,,,,,,
BRPT.JK,channel up,breakout,41.06,1.98,891.38,895.37,,,,,,,
BRRC.JK,multiple bottoms,topping,3.06,0.07,51.32,55.62,,,,,,,
BSBK.JK,multiple bottoms,topping,1.4,0.26,50.0,53.0,,,,,,,
BSDE.JK,channel up,breakout,31.14,1.19,854.67,913.33,,,,,,,
BSIM.JK,channel up,breakdown,38.16,0.6,848.91,971.68,,,,,,,
BSML.JK,channel down,topping,3.78,0.02,72.54,70.1,,,,,,,
BSSR.JK,channel up,breakout,81.77,0.91,4238.8,4384.51,,,,,,,
BSWD.JK,channel up,breakdown,27.67,5.73,1555.0,1945.0,,,,,,,
BTEK.JK,channel down,breakout,0.69,1.77,4.57,6.85,,,,,,,
BTON.JK,channel up,basing,12.81,0.14,410.15,439.03,,,,,,,
BTPN.JK,channel down,basing,66.86,0.52,2238.07,2338.0,,,,,,,
BTPS.JK,channel down,topping,52.64,0.31,1357.69,1381.92,,,,,,,
BUAH.JK,multiple bottoms,basing,35.96,0.38,1746.96,1794.95,,,,,,,
BUDI.JK,channel up,topping,6.28,2.59,210.31,213.77,,,,,,,
BUKA.JK,channel down,breakdown,6.07,0.25,141.94,161.61,,,,,,,
BUKK.JK,channel down,topping,22.24,0.52,872.2,867.25,,,,,,,
BULL.JK,channel down,basing,5.97,0.89,115.72,120.45,,,,,,,
BUMI.JK,channel down,breakout,6.16,0.67,126.75,130.91,,,,,,,
BUVA.JK,channel up,basing,4.36,0.15,65.78,67.82,,,,,,,
BVIC.JK,channel down,topping,3.27,0.6,84.91,86.03,,,,,,,
BWPT.JK,channel down,basing,2.51,0.15,60.66,64.44,,,,,,,
BYAN.JK,multiple tops,basing,331.82,0.13,20900.91,20087.73,,,,,,,
CAKK.JK,channel down,topping,5.05,1.07,146.34,145.49,,,,,,,
CAMP.JK,channel down,topping,11.22,0.66,198.5,218.44,,,,,,,
CANI.JK,channel down,topping,1.8,0.08,30.1,27.52,,,,,,,
CARE.JK,channel down,breakout,9.12,0.45,210.81,211.71,,,,,,,
CARS.JK,channel up,basing,2.19,0.1,89.86,88.61,,,,,,,
CASA.JK,channel down,topping,35.0,0.46,870.14,886.58,,,,,,,
CASH.JK,channel down,breakout,4.2,0.41,56.92,63.3,,,,,,,
CASS.JK,multiple tops,basing,116.5,0.52,1940.08,1985.03,,,,,,,
CBDK.JK,channel down,breakdown,391.72,0.42,7468.16,7612.08,,,,,,,
CBPE.JK,channel up,topping,9.34,0.41,186.31,197.15,,,,,,,
CBRE.JK,channel down,topping,0.83,0.82,28.69,28.75,,,,,,,
CBUT.JK,channel down,basing,60.58,1.6,969.36,1021.69,,,,,,,
CCSI.JK,channel down,topping,25.01,0.11,373.61,368.38,,,,,,,
CEKA.JK,channel down,topping,83.63,1.31,2570.86,2647.22,,,,,,,
CENT.JK,channel down,breakdown,11.08,0.2,114.58,167.45,,,,,,,
CFIN.JK,channel up,topping,12.1,1.04,322.4,330.29,,,,,,,
CGAS.JK,channel down,basing,5.36,0.23,97.74,124.0,,,,,,,
CHEM.JK,channel down,breakout,3.2,0.13,53.96,54.5,,,,,,,
CHIP.JK,symmetrical wedge,basing,22.81,0.62,1413.47,1386.97,,,,,,,
CINT.JK,channel down,basing,13.25,0.68,203.83,204.96,,,,,,,
CITA.JK,channel down,topping,194.09,0.78,4244.32,4624.7,,,,,,,
CITY.JK,channel down,topping,7.3,2.49,98.34,104.16,,,,,,,
CLAY.JK,channel down,breakout,33.83,0.48,760.0,930.0,,,,,,,
CLEO.JK,channel up,breakout,69.22,0.32,1305.63,1382.29,,,,,,,
CLPI.JK,channel up,topping,25.13,0.39,1301.71,1303.46,,,,,,,
CMNP.JK,channel down,basing,89.88,0.52,1404.46,1227.2,,,,,,,
CMNT.JK,multiple bottoms,topping,27.81,0.91,855.69,903.04,,,,,,,
CMPP.JK,channel down,basing,1.16,1.42,70.0,81.69,,,,,,,
CMRY.JK,channel up,breakout,166.58,1.39,4455.68,4799.9,,,,,,,
CNKO.JK,channel down,breakdown,1.45,0.2,35.1,34.78,,,,,,,
CNMA.JK,channel down,basing,8.58,0.3,169.72,175.11,,,,,,,
CNTB.JK,sideways,basing,0.0,,250.0,250.0,,,,,,,
CNTX.JK,sideways,basing,0.0,,142.0,142.0,,,,,,,
COAL.JK,channel down,topping,0.78,1.28,39.0,42.21,,,,,,,
COCO.JK,channel down,breakout,10.74,11.12,70.05,75.3,,,,,,,
COWL.JK,sideways,basing,0.0,,50.0,50.0,,,,,,,
CPIN.JK,channel down,topping,146.74,0.18,4962.97,4999.67,,,,,,,
CPRI.JK,sideways,basing,0.0,,50.0,50.0,,,,,,,
CPRO.JK,multiple tops,topping,1.71,0.75,50.0,52.8,,,,,,,
CRAB.JK,channel up,topping,4.78,0.23,250.37,251.57,,,,,,,
CRSN.JK,channel down,basing,7.69,1.24,116.51,120.99,,,,,,,
CSAP.JK,channel down,breakdown,13.26,1.29,274.16,313.11,,,,,,,
CSIS.JK,channel down,breakdown,5.81,0.03,70.41,81.94,,,,,,,
CSMI.JK,channel down,breakout,92.28,1.31,2342.22,1060.0,,,,,,,
CSRA.JK,symmetrical wedge,basing,27.12,0.76,633.13,664.47,,,,,,,
CTBN.JK,channel up,basing,284.84,2.19,4625.08,6618.75,,,,,,,
CTRA.JK,channel up,topping,37.33,0.21,1036.54,1055.66,,,,,,,
CTTH.JK,channel down,topping,0.91,0.25,23.83,24.66,,,,,,,
CUAN.JK,channel up,breakout,687.54,3.09,10092.44,10491.63,,,,,,,
CYBR.JK,channel up,topping,70.96,0.56,1098.07,1249.48,,,,,,,
DAAZ.JK,channel down,breakout,256.03,0.66,4717.28,5436.27,,,,,,,
DADA.JK,multiple bottoms,topping,0.7,1.77,7.0,9.4,,,,,,,
DART.JK,channel down,topping,9.31,1.03,138.4,150.74,,,,,,,
DATA.JK,channel up,breakout,102.69,0.35,1502.42,1608.12,,,,,,,
DAYA.JK,channel up,breakdown,151.37,1.54,1495.0,1366.17,,,,,,,
DCII.JK,channel up,basing,5291.18,0.11,160341.09,160305.41,,,,,,,
DEAL.JK,sideways,basing,0.0,,6.0,6.0,,,,,,,
DEFI.JK,sideways,basing,0.0,0.0,1455.0,1455.0,,,,,,,
DEPO.JK,channel down,basing,9.22,0.08,240.66,239.06,,,,,,,
DEWA.JK,channel up,breakout,10.33,0.6,166.14,173.92,,,,,,,
DEWI.JK,channel down,topping,2.88,0.52,89.16,95.91,,,,,,,
DFAM.JK,channel down,topping,0.72,0.15,50.0,51.0,,,,,,,
DGIK.JK,channel down,basing,2.6,0.61,67.99,70.18,,,,,,,
DGNS.JK,channel down,breakout,10.41,0.3,187.68,203.28,,,,,,,
DGWG.JK,channel up,topping,24.56,0.4,493.83,502.43,,,,,,,
DIGI.JK,multiple tops,breakdown,0.74,0.07,16.0,17.0,,,,,,,
DILD.JK,channel down,topping,6.13,1.12,154.98,180.37,,,,,,,
DIVA.JK,channel down,topping,7.48,0.15,106.58,116.56,,,,,,,
DKFT.JK,channel up,topping,25.49,0.55,386.29,399.73,,,,,,,
DKHH.JK,insufficient data,unknown,,,,,,,,,,,
DLTA.JK,channel down,topping,54.2,3.06,2270.59,2236.08,,,,,,,
DMAS.JK,channel down,topping,6.08,1.13,160.85,207.54,,,,,,,
DMMX.JK,channel down,basing,16.46,0.12,440.38,429.04,,,,,,,
DMND.JK,multiple tops,basing,5.73,0.01,748.0,805.0,,,,,,,
DNAR.JK,channel down,breakout,9.68,2.0,119.11,124.04,,,,,,,
DNET.JK,channel up,basing,489.45,0.71,10079.75,10467.98,,,,,,,
DOID.JK,channel up,topping,26.73,0.98,510.98,534.99,,,,,,,
DOOH.JK,channel down,basing,8.44,0.22,120.32,131.57,,,,,,,
DOSS.JK,channel down,topping,11.26,0.34,170.75,177.46,,,,,,,
DPNS.JK,channel down,topping,11.53,0.2,265.34,274.68,,,,,,,
DPUM.JK,multiple tops,basing,1.12,0.3,50.0,51.0,,,,,,,
DRMA.JK,channel up,breakout,30.26,0.51,1010.9,1033.27,,,,,,,
DSFI.JK,channel down,basing,2.29,0.15,55.79,58.6,,,,,,,
